"DateTime","Average","LRAPA-Amazon Park A","LRAPA-Amazon Park B"
"2024-06-23 15:00:00",7.8,4,5
"2024-06-23 15:10:00",,3,4
"2024-06-23 15:20:00",,3,4
"2024-06-23 15:30:00",,3,3
"2024-06-23 15:40:00",,1,2
"2024-06-23 15:50:00",,1,1
"2024-06-23 16:00:00",,2,2
"2024-06-23 16:10:00",,1,2
"2024-06-23 16:20:00",,1,1
"2024-06-23 16:30:00",,1,1
"2024-06-23 16:40:00",,1,1
"2024-06-23 16:50:00",,1,1
"2024-06-23 17:00:00",,1,1
"2024-06-23 17:10:00",,2,1
"2024-06-23 17:20:00",,2,2
"2024-06-23 17:30:00",,2,2
"2024-06-23 17:40:00",,2,3
"2024-06-23 17:50:00",,3,3
"2024-06-23 18:00:00",,3,3
"2024-06-23 18:10:00",,3,3
"2024-06-23 18:20:00",,3,3
"2024-06-23 18:30:00",,3,3
"2024-06-23 18:40:00",,4,3
"2024-06-23 18:50:00",,3,3
"2024-06-23 19:00:00",,3,3
"2024-06-23 19:10:00",,3,2
"2024-06-23 19:20:00",,2,2
"2024-06-23 19:30:00",,2,2
"2024-06-23 19:40:00",,2,3
"2024-06-23 19:50:00",,3,2
"2024-06-23 20:00:00",,2,2
"2024-06-23 20:10:00",,2,3
"2024-06-23 20:20:00",,1,2
"2024-06-23 20:30:00",,2,1
"2024-06-23 20:40:00",,1,1
"2024-06-23 20:50:00",,0,1
"2024-06-23 21:00:00",,1,1
"2024-06-23 21:10:00",,1,1
"2024-06-23 21:20:00",,1,1
"2024-06-23 21:30:00",,1,0
"2024-06-23 21:40:00",,1,1
"2024-06-23 21:50:00",,1,1
"2024-06-23 22:00:00",,1,1
"2024-06-23 22:10:00",,1,1
"2024-06-23 22:20:00",,1,1
"2024-06-23 22:30:00",,1,1
"2024-06-23 22:40:00",,1,0
"2024-06-23 22:50:00",,1,1
"2024-06-23 23:00:00",,2,2
"2024-06-23 23:10:00",,1,1
"2024-06-23 23:20:00",,1,1
"2024-06-23 23:30:00",,2,1
"2024-06-23 23:40:00",,2,3
"2024-06-23 23:50:00",,2,2
"2024-06-24 00:00:00",,3,2
"2024-06-24 00:10:00",,2,4
"2024-06-24 00:20:00",,3,2
"2024-06-24 00:30:00",,3,2
"2024-06-24 00:40:00",,2,1
"2024-06-24 00:50:00",,2,2
"2024-06-24 01:00:00",,3,2
"2024-06-24 01:10:00",,3,2
"2024-06-24 01:20:00",,3,3
"2024-06-24 01:30:00",,3,2
"2024-06-24 01:40:00",,2,3
"2024-06-24 01:50:00",,3,2
"2024-06-24 02:00:00",,1,3
"2024-06-24 02:10:00",,3,3
"2024-06-24 02:20:00",,3,2
"2024-06-24 02:30:00",,4,3
"2024-06-24 02:40:00",,3,3
"2024-06-24 02:50:00",,3,4
"2024-06-24 03:00:00",,4,3
"2024-06-24 03:10:00",,3,4
"2024-06-24 03:20:00",,3,3
"2024-06-24 03:30:00",,5,5
"2024-06-24 03:40:00",,4,4
"2024-06-24 03:50:00",,4,4
"2024-06-24 04:00:00",,4,5
"2024-06-24 04:10:00",,4,5
"2024-06-24 04:20:00",,5,4
"2024-06-24 04:30:00",,4,4
"2024-06-24 04:40:00",,3,4
"2024-06-24 04:50:00",,4,4
"2024-06-24 05:00:00",,4,4
"2024-06-24 05:10:00",,4,4
"2024-06-24 05:20:00",,6,5
"2024-06-24 05:30:00",,5,5
"2024-06-24 05:40:00",,6,5
"2024-06-24 05:50:00",,5,6
"2024-06-24 06:00:00",,5,7
"2024-06-24 06:10:00",,5,6
"2024-06-24 06:20:00",,7,6
"2024-06-24 06:30:00",,7,7
"2024-06-24 06:40:00",,7,7
"2024-06-24 06:50:00",,8,6
"2024-06-24 07:00:00",,6,6
"2024-06-24 07:10:00",,7,4
"2024-06-24 07:20:00",,5,4
"2024-06-24 07:30:00",,5,4
"2024-06-24 07:40:00",,5,5
"2024-06-24 07:50:00",,5,6
"2024-06-24 08:00:00",,6,7
"2024-06-24 08:10:00",,5,7
"2024-06-24 08:20:00",,7,6
"2024-06-24 08:30:00",,6,6
"2024-06-24 08:40:00",,7,7
"2024-06-24 08:50:00",,7,8
"2024-06-24 09:00:00",,7,8
"2024-06-24 09:10:00",,8,8
"2024-06-24 09:20:00",,6,7
"2024-06-24 09:30:00",,7,8
"2024-06-24 09:40:00",,6,5
"2024-06-24 09:50:00",,6,7
"2024-06-24 10:00:00",,7,7
"2024-06-24 10:10:00",,6,7
"2024-06-24 10:20:00",,7,6
"2024-06-24 10:30:00",,7,8
"2024-06-24 10:40:00",,8,8
"2024-06-24 10:50:00",,5,7
"2024-06-24 11:00:00",,8,7
"2024-06-24 11:10:00",,7,6
"2024-06-24 11:20:00",,8,7
"2024-06-24 11:30:00",,5,4
"2024-06-24 11:40:00",,4,5
"2024-06-24 11:50:00",,7,7
"2024-06-24 12:00:00",,5,5
"2024-06-24 12:10:00",,5,4
"2024-06-24 12:20:00",,5,5
"2024-06-24 12:30:00",,4,3
"2024-06-24 12:40:00",,4,4
"2024-06-24 12:50:00",,6,5
"2024-06-24 13:00:00",,4,4
"2024-06-24 13:10:00",,4,6
"2024-06-24 13:20:00",,5,4
"2024-06-24 13:30:00",,4,4
"2024-06-24 13:40:00",,4,4
"2024-06-24 13:50:00",,3,3
"2024-06-24 14:00:00",,3,3
"2024-06-24 14:10:00",,3,4
"2024-06-24 14:20:00",,3,4
"2024-06-24 14:30:00",,3,3
"2024-06-24 14:40:00",,3,2
"2024-06-24 14:50:00",,3,4
"2024-06-24 15:00:00",,4,2
"2024-06-24 15:10:00",,2,2
"2024-06-24 15:20:00",,3,2
"2024-06-24 15:30:00",,3,2
"2024-06-24 15:40:00",,2,2
